PCA Suite run log — generated 2026-04-23T12:28:09
Total logged entries: 54
======================================================================
[2026-04-23T12:22:37] OK  [2/108] FULL_SPECTRUM | WEIGHTS__BOX12_DM1_ONLY | RAW
[2026-04-23T12:22:42] OK  [4/108] FULL_SPECTRUM | WEIGHTS__BOX12_DM1_ONLY | NORMALIZATION
[2026-04-23T12:22:48] OK  [6/108] FULL_SPECTRUM | WEIGHTS__BOX12_DM1_ONLY | SNV
[2026-04-23T12:22:53] OK  [8/108] FULL_SPECTRUM | WEIGHTS__BOX12_DM1_ONLY | SECOND DERIVATIVE
[2026-04-23T12:22:59] OK  [10/108] FULL_SPECTRUM | WEIGHTS__BOX12_DM1_ONLY | EMSC
[2026-04-23T12:23:04] OK  [12/108] FULL_SPECTRUM | WEIGHTS__BOX12_DM1_ONLY | NORMALIZATION+EMSC
[2026-04-23T12:23:09] OK  [14/108] FULL_SPECTRUM | WEIGHTS__BOX12_DM1_ONLY | SNV+SECOND DERIVATIVE
[2026-04-23T12:23:15] OK  [16/108] FULL_SPECTRUM | WEIGHTS__BOX12_DM1_ONLY | NORMALIZATION+SNV
[2026-04-23T12:23:20] OK  [18/108] FULL_SPECTRUM | WEIGHTS__BOX12_DM1_ONLY | NORMALIZATION+SNV+SECOND DERIVATIVE
[2026-04-23T12:23:26] OK  [20/108] FULL_SPECTRUM | WEIGHTS__BOX12_ALL | RAW
[2026-04-23T12:23:30] OK  [22/108] FULL_SPECTRUM | WEIGHTS__BOX12_ALL | NORMALIZATION
[2026-04-23T12:23:36] OK  [24/108] FULL_SPECTRUM | WEIGHTS__BOX12_ALL | SNV
[2026-04-23T12:23:42] OK  [26/108] FULL_SPECTRUM | WEIGHTS__BOX12_ALL | SECOND DERIVATIVE
[2026-04-23T12:23:48] OK  [28/108] FULL_SPECTRUM | WEIGHTS__BOX12_ALL | EMSC
[2026-04-23T12:23:56] OK  [30/108] FULL_SPECTRUM | WEIGHTS__BOX12_ALL | NORMALIZATION+EMSC
[2026-04-23T12:24:01] OK  [32/108] FULL_SPECTRUM | WEIGHTS__BOX12_ALL | SNV+SECOND DERIVATIVE
[2026-04-23T12:24:08] OK  [34/108] FULL_SPECTRUM | WEIGHTS__BOX12_ALL | NORMALIZATION+SNV
[2026-04-23T12:24:15] OK  [36/108] FULL_SPECTRUM | WEIGHTS__BOX12_ALL | NORMALIZATION+SNV+SECOND DERIVATIVE
[2026-04-23T12:24:22] OK  [38/108] TRIM_500_3100 | WEIGHTS__BOX12_DM1_ONLY | RAW
[2026-04-23T12:24:28] OK  [40/108] TRIM_500_3100 | WEIGHTS__BOX12_DM1_ONLY | NORMALIZATION
[2026-04-23T12:24:34] OK  [42/108] TRIM_500_3100 | WEIGHTS__BOX12_DM1_ONLY | SNV
[2026-04-23T12:24:40] OK  [44/108] TRIM_500_3100 | WEIGHTS__BOX12_DM1_ONLY | SECOND DERIVATIVE
[2026-04-23T12:24:46] OK  [46/108] TRIM_500_3100 | WEIGHTS__BOX12_DM1_ONLY | EMSC
[2026-04-23T12:24:52] OK  [48/108] TRIM_500_3100 | WEIGHTS__BOX12_DM1_ONLY | NORMALIZATION+EMSC
[2026-04-23T12:24:58] OK  [50/108] TRIM_500_3100 | WEIGHTS__BOX12_DM1_ONLY | SNV+SECOND DERIVATIVE
[2026-04-23T12:25:04] OK  [52/108] TRIM_500_3100 | WEIGHTS__BOX12_DM1_ONLY | NORMALIZATION+SNV
[2026-04-23T12:25:10] OK  [54/108] TRIM_500_3100 | WEIGHTS__BOX12_DM1_ONLY | NORMALIZATION+SNV+SECOND DERIVATIVE
[2026-04-23T12:25:17] OK  [56/108] TRIM_500_3100 | WEIGHTS__BOX12_ALL | RAW
[2026-04-23T12:25:23] OK  [58/108] TRIM_500_3100 | WEIGHTS__BOX12_ALL | NORMALIZATION
[2026-04-23T12:25:30] OK  [60/108] TRIM_500_3100 | WEIGHTS__BOX12_ALL | SNV
